blush,0,2942792,"blusg,blushed,blushes,blushing,blushing_female,blushing_male,facial_blush,flush"
smile,0,2873890,":),:},big_smile,cute_smile,smiling,smilling"
open_mouth,0,2365905,"maw,maws,mouth_open,open-mouth,open_maw,open_muzzle,opened_mouth"
closed_mouth,0,1167588,
:d,0,549710,
tears,0,235779,"crying_tears,tear,tearful,teary-eyed,teary_eyed"
grin,0,233048,"grinning,grins"
:o,0,187436,":0,o:"
expressionless,0,119191,"inexpressive,unexpressive"
:3,0,116830,
^_^,0,110141,^^
frown,0,107762,":(,:{,frowned,frowning"
embarrassed,0,97268,"ashamed,embarased_nude_female,embarassed,embarassed_nude_anthro,embarassed_nude_female,embarassed_nude_male,embarassing,embarassment,embarrased,embarrased_nude_female,embarrased_nude_male,embarrasing,embarrasment,embarrass,embarrassed_nude_andromorph,embarrassed_nude_anthro,embarrassed_nude_exposure,embarrassed_nude_female,embarrassed_nude_gynomorph,embarrassed_nude_herm,embarrassed_nude_male,embarrassed_nude_maleherm,embarrassing,embarrassment,enf,enm,looking_embarrassed"
happy,0,92346,"gleeful,happiness,happy_expression,happy_eyes,happy_face,happy_look,looking_happy,so_happy"
crying,0,76783,"cries,cry"
>_<,0,64724,><
drooling,0,54132,"droll,drool,mouth_watering,slobber,slobbering"
surprised,0,53084,shock
angry,0,44161,"anger,angry_expression,angry_eyes,angry_face,angry_look,looking_angry,mad,pissed,pissed_off,rage"
:<,0,40903,
:p,0,40157,:b
naughty_face,0,28969,
serious,0,28727,
smirk,0,27031,smirking
pout,0,25686,
;),0,24018,
smug,0,22135,
ahegao,0,20098,"ahe_gao,aheago,ahegao_face,ahego,ahegoa"
shocked,7,18654,"looking_shocked,shock,shocked_expression,shocked_eyes,shocked_face"
laughing,0,15949,
:>,0,14902,
scared,0,14704,"afraid,dread,fear,fright,frightened,looking_afraid,scare,terrified"
>:),0,13510,
annoyed,0,13172,"annoyed_expression,irritated,looking_annoyed"
nervous,0,12035,"looking_nervious,looking_nervous,nervous_expression"
sad,0,12031,"sad_expression,sad_eyes,sad_face,sadness"
seductive_smile,0,11002,
sleepy,0,9351,
yawning,0,9321,
tired,7,8063,
:>=,0,5469,vacuum_fellatio
confused,0,3632,
bored,0,1577,"bored_expression,bored_look,looking_bored"
determined,0,1412,
<|>_<|>,0,1282,
<o>_<o>,0,1271,<o><o>
open_:3,7,977,
>:3,7,882,
>:d,7,298,
cashier:3,8,207,tgrummy
>:o,7,96,
start:dash!!,0,94,
>:<,7,92,
d:<,7,70,
:3c,7,55,
ooo_(^_^),8,37,
>:3c,7,36,
doggo:3,8,32,
